ac_velocity_multiplier	AC VELOCITY
accellerp_all_multiplier	ACCELERATION RATE
advancedzoom_additive	ADVANCED ZOOM
all_cooldown_multiplier	COOLDOWN
all_heat_multiplier	HEAT
all_range_multiplier	RANGE
all_velocity_multiplier	VELOCITY
ammocapacity_ac10_additive	AC10 AMMO
ammocapacity_ac20_additive	AC20 AMMO
ammocapacity_ac2_additive	AC2 AMMO
ammocapacity_ac5_additive	AC5 AMMO
ammocapacity_cac10_additive	CLAN AC10 AMMO
ammocapacity_cac20_additive	CLAN AC20 AMMO
ammocapacity_cac2_additive	CLAN AC2 AMMO
ammocapacity_cac5_additive	CLAN AC5 AMMO
ammocapacity_catm_additive	CLAN ATM AMMO
ammocapacity_cgauss_additive	CLAN GAUSS AMMO
ammocapacity_cheavymachinegun_additive	CLAN HMG AMMO
ammocapacity_clb10x_additive	CLAN LB-X10 AMMO
ammocapacity_clb20x_additive	CLAN LB-X20 AMMO
ammocapacity_clb2x_additive	CLAN LB-X2 AMMO
ammocapacity_clb5x_additive	CLAN LB-X5 AMMO
ammocapacity_clightmachinegun_additive	CLAN LMG AMMO
ammocapacity_clrm_additive	CLAN LRM AMMO
ammocapacity_clrm_artemis_additive	CLAN ALRM AMMO
ammocapacity_cmachinegun_additive	CLAN MG AMMO
ammocapacity_cnarc_additive	CLAN NARC AMMO
ammocapacity_csrm_additive	CLAN SRM AMO
ammocapacity_csrm_artemis_additive	CLAN ASRM AMMO
ammocapacity_cstreak_srm_additive	CLAN STREAK AMMO
ammocapacity_cultraac10_additive	CLAN UAC/10 AMMO
ammocapacity_cultraac20_additive	CLAN UAC/20 AMMO
ammocapacity_cultraac2_additive	CLAN UAC/2 AMMO
ammocapacity_cultraac5_additive	CLAN UAC/5 AMMO
ammocapacity_gauss_additive	GAUSS AMMO
ammocapacity_heavygauss_additive	HEAVY GAUSS AMMO
ammocapacity_heavymachinegun_additive	HMG AMMO
ammocapacity_lb10x_additive	LB-X10 AMMO
ammocapacity_lb20x_additive	LB-X20 AMMO
ammocapacity_lb2x_additive	LB-X2 AMMO
ammocapacity_lb5x_additive	LB-X5 AMMO
ammocapacity_lightgauss_additive	LIGHT GAUSS AMMO
ammocapacity_lightmachinegun_additive	LMG AMMO
ammocapacity_lrm_additive	LRM AMMO
ammocapacity_lrm_artemis_additive	ALRM AMMO
ammocapacity_machinegun_additive	MG AMMO
ammocapacity_mrm_additive	MRM AMMO
ammocapacity_narc_additive	NARC AMMO
ammocapacity_rotary_ac2_additive	RAC 2 AMMO
ammocapacity_rotary_ac5_additive	RAC 5 AMMO
ammocapacity_srm_additive	SRM AMMO
ammocapacity_srm_artemis_additive	ASRM AMMO
ammocapacity_streak_srm_additive	STREAK AMMO
ammocapacity_ultraac10_additive	UAC/10 AMMO
ammocapacity_ultraac20_additive	UAC/20 AMMO
ammocapacity_ultraac2_additive	UAC/2 AMMO
ammocapacity_ultraac5_additive	UAC/5 AMMO
antimissilesystem_damage_additive	AMS DAMAGE
